Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
North Macedonia,,,32000,31452,14891,9048,5089,3500,1700,21200,9050,4363,2816,193,1004,1274,1240,1235,1672,1542,1398,1130,1077,982,883,701,637,409
Mali,13411,13120,13109,15224,15800,17916,18234,12552,13598,8302,8412,8439,9095,10009,11256,11233,10585,9203,9578,13538,13558,15624,13928,14316,15195,15917,17512,17036
Malta,,,,505,429,416,367,343,296,271,190,176,307,895,1558,1939,2404,3000,4332,5955,6136,6952,8248,9906,6095,7075,7948,7949
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),6857116,7373339,7313813,5832978,5731138,5683024,5765388,5833030,5902624,5921581,6083417,6213310,5841547,5536279,5701183,5690469,6974418,7943799,7696877,7809389,7942335,7374102,7269765,8394754,8998709,8886924,8909699,9035161
Montenegro,,,,,,,,,,,,,,,,,6926,8528,24741,24019,16364,12874,11198,8476,6462,1771,974,789
Mongolia,,,,,,,,,,,,,,,,,5,5,11,11,12,1,4,9,6,9,8,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,420,420,299,202,322,128,198,72,52,220,207,207,207,311,623,1954,2558,2767,3163,3547,4077,4079,4398,4445,4536,5622,4671,4866
Mauritania,60000,35200,37500,51548,82229,34394,15880,7511,26,223,350,365,405,475,473,632,770,30471,27041,26795,26717,26535,80496,92767,75635,77394,74148,77400
Mauritius,,,,,,,,,,43,,14,,,,,,,,,,,,,,,,
Malawi,926725,981812,1058498,713607,90242,1018,1268,280,1245,1700,3900,6200,2166,3202,3682,4240,3943,2929,4175,5443,5740,6308,6544,5796,5874,9019,9392,8977
Malaysia,14862,13947,11399,154,5308,5278,5309,5285,50614,50517,50487,50466,50612,7424,24905,33693,37170,32658,36671,66137,81516,86680,90185,97513,99381,94166,92263,103792
North America,619648,684798,763675,806310,817614,775419,745459,689021,653340,644459,635213,645077,615121,585642,562252,526511,995325,456960,453199,444895,430123,429646,425779,424011,416385,409090,370291,391813
Namibia,,136,171,585,1144,1682,2204,2511,3820,7612,27263,30885,21651,19800,14773,5307,5462,6525,6799,7163,7254,6049,1806,2332,1767,1737,1757,2177
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,792,1385,3699,16692,15070,27622,25845,7376,3691,350,58,83,296,328,344,301,317,319,320,325,314,302,50510,57661,77830,124721,166093,165719
Nigeria,3571,3573,4782,4829,6026,8118,8486,9071,6780,6941,7270,7200,7355,9171,8395,9019,8768,8460,10124,9127,8747,8806,3154,1694,1239,1395,1367,1900
Nicaragua,16000,14933,14450,5643,314,577,557,465,474,471,332,325,325,300,292,227,199,184,147,120,64,86,129,189,280,330,331,322
Netherlands,17337,19020,29739,43538,62163,79960,102588,118071,131490,138646,146180,151928,148362,140886,126805,118189,100574,86587,77600,76008,74961,74598,71909,74707,82494,88536,101744,103818
Norway,19581,29054,29846,38375,44617,47607,48409,47381,45334,43440,47693,50128,50432,46109,44046,43034,43336,34522,36101,37826,40260,40691,42822,46106,47043,50389,59522,59160
Nepal,17800,28319,95251,105342,123271,124754,126815,129157,126101,127940,129237,130945,132436,123667,124928,126436,128175,130681,124832,108461,89808,72654,56264,46305,38490,32667,25249,21467
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,389,506,506,944
New Zealand,4666,16760,17310,3942,3668,3758,3788,3646,4097,4800,4923,5264,5757,5807,5350,5307,4906,2740,2716,3289,2307,1934,1517,1403,1349,1337,1421,1410
OECD members,2524748,2608996,3206578,3162097,3215602,3088919,3109602,2831413,2618175,2640181,2517347,2560837,2621680,2532305,2401983,2176861,2558111,1927859,1960644,1986483,1962227,1937371,2196304,2179873,3269750,4454513,5322278,6361902
